type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
16,2022-12-22 12:47:22+0000,826,0.0,1.800000071525574,0.0,0.0,69.0
49,2022-12-22 12:07:07+0000,1460,0.0,1.800000071525574,0.0,0.0,280.0
49,2022-12-20 12:05:09+0000,2233,0.0,1.800000071525574,0.0,0.0,219.0
16,2022-12-19 17:00:01+0000,1342,0.0,1.800000071525574,0.0,0.0,142.0
49,2022-12-18 08:10:37+0000,2969,0.0,1.800000071525574,0.0,0.0,562.0
16,2022-12-16 12:26:21+0000,4115,0.0,1.800000071525574,0.0,0.0,395.0
16,2022-12-15 12:49:04+0000,1539,0.0,1.800000071525574,0.0,0.0,111.0
49,2022-12-15 11:56:08+0000,2034,0.0,1.800000071525574,0.0,0.0,425.0
49,2022-12-13 11:48:48+0000,1890,0.0,1.800000071525574,0.0,0.0,267.0
16,2022-12-12 17:13:16+0000,4532,0.0,1.800000071525574,0.0,0.0,423.0
1,2022-12-11 08:07:39+0000,2003,216.0,0.2165844738483429,6642.0,0.301,405.0
16,2022-12-09 13:02:01+0000,3074,0.0,1.800000071525574,0.0,0.0,272.0
49,2022-12-07 18:46:04+0000,603,0.0,1.800000071525574,0.0,0.0,113.0
16,2022-12-07 17:53:16+0000,2666,0.0,1.800000071525574,0.0,0.0,250.0
16,2022-12-07 17:49:43+0000,201,0.0,1.800000071525574,0.0,0.0,15.0
49,2022-12-06 14:38:12+0000,1699,0.0,1.800000071525574,0.0,0.0,342.0
16,2022-12-05 12:03:23+0000,2017,0.0,1.800000071525574,0.0,0.0,229.0
16,2022-12-03 08:34:30+0000,2235,0.0,1.800000071525574,0.0,0.0,211.0
16,2022-12-02 14:36:38+0000,563,0.0,1.800000071525574,0.0,0.0,75.0
49,2022-12-02 13:52:31+0000,2187,0.0,1.800000071525574,0.0,0.0,287.0
16,2022-11-29 15:00:07+0000,1028,0.0,1.800000071525574,0.0,0.0,105.0
49,2022-11-29 14:26:18+0000,1565,0.0,1.800000071525574,0.0,0.0,253.0
16,2022-11-28 14:48:14+0000,1635,0.0,1.800000071525574,0.0,0.0,132.0
1,2022-11-27 14:21:18+0000,2442,244.0,0.2444230020046234,7625.0,0.32,478.0
16,2022-11-25 12:54:32+0000,897,0.0,1.800000071525574,0.0,0.0,102.0
49,2022-11-25 12:03:52+0000,2429,0.0,1.800000071525574,0.0,0.0,438.0
49,2022-11-24 11:40:26+0000,1796,0.0,1.800000071525574,0.0,0.0,194.0
16,2022-11-22 13:32:54+0000,1479,0.0,1.800000071525574,0.0,0.0,175.0
16,2022-11-22 13:25:14+0000,424,0.0,1.800000071525574,0.0,0.0,36.0
49,2022-11-22 12:43:06+0000,2102,0.0,1.800000071525574,0.0,0.0,273.0
16,2022-11-21 11:16:10+0000,3009,0.0,1.800000071525574,0.0,0.0,285.0
1,2022-11-20 07:53:36+0000,1861,190.0,0.1895420849323273,5555.0,0.335,185.0
16,2022-11-18 14:17:47+0000,736,0.0,1.800000071525574,0.0,0.0,82.0
49,2022-11-18 13:32:08+0000,2731,0.0,1.800000071525574,0.0,0.0,344.0
16,2022-11-17 13:43:22+0000,1404,0.0,1.800000071525574,0.0,0.0,124.0
16,2022-11-17 13:14:23+0000,1732,0.0,1.800000071525574,0.0,0.0,123.0
16,2022-11-15 13:53:51+0000,1837,0.0,1.800000071525574,0.0,0.0,234.0
49,2022-11-15 13:06:57+0000,2066,0.0,1.800000071525574,0.0,0.0,199.0
16,2022-11-14 13:35:16+0000,2744,0.0,1.800000071525574,0.0,0.0,290.0
16,2022-11-13 09:14:27+0000,257,0.0,1.800000071525574,0.0,0.0,33.0
1,2022-11-13 08:12:20+0000,3718,211.0,0.2113292515277863,10355.0,0.359,730.0
16,2022-11-12 11:38:19+0000,3332,0.0,1.800000071525574,0.0,0.0,329.0
16,2022-11-10 13:46:32+0000,2352,0.0,1.800000071525574,0.0,0.0,224.0
49,2022-11-10 13:10:52+0000,1530,0.0,1.800000071525574,0.0,0.0,298.0
16,2022-11-08 14:00:33+0000,1116,0.0,1.800000071525574,0.0,0.0,93.0
49,2022-11-08 13:11:36+0000,2168,0.0,1.800000071525574,0.0,0.0,325.0
16,2022-11-07 13:30:10+0000,3048,0.0,1.800000071525574,0.0,0.0,269.0
16,2022-11-06 09:03:06+0000,543,0.0,1.800000071525574,0.0,0.0,46.0
1,2022-11-06 07:56:10+0000,3332,146.0,0.1465907543897629,10129.0,0.328,611.0
16,2022-11-04 09:12:06+0000,1617,0.0,1.800000071525574,0.0,0.0,125.0
49,2022-11-04 08:37:15+0000,1644,0.0,1.800000071525574,0.0,0.0,255.0
16,2022-11-03 15:13:04+0000,507,0.0,1.800000071525574,0.0,0.0,89.0
49,2022-11-03 14:55:07+0000,891,0.0,1.800000071525574,0.0,0.0,122.0
16,2022-11-03 14:32:09+0000,1372,0.0,1.800000071525574,0.0,0.0,172.0
16,2022-11-01 18:26:45+0000,271,0.0,1.800000071525574,0.0,0.0,23.0
1,2022-11-01 17:20:52+0000,3304,221.0,0.2218690365552902,10187.0,0.324,722.0
16,2022-10-31 17:11:22+0000,3973,0.0,1.800000071525574,0.0,0.0,343.0
16,2022-10-30 08:32:58+0000,683,0.0,1.800000071525574,0.0,0.0,58.0
1,2022-10-30 07:23:19+0000,3935,211.0,0.211359977722168,10511.0,0.374,634.0
49,2022-10-28 14:24:31+0000,132,0.0,1.800000071525574,0.0,0.0,17.0
16,2022-10-28 13:49:16+0000,2080,0.0,1.800000071525574,0.0,0.0,184.0
16,2022-10-27 13:07:36+0000,560,0.0,1.800000071525574,0.0,0.0,40.0
49,2022-10-27 12:29:02+0000,2299,0.0,1.800000071525574,0.0,0.0,252.0
16,2022-10-25 11:34:13+0000,1050,0.0,1.800000071525574,0.0,0.0,81.0
49,2022-10-25 11:03:59+0000,1424,0.0,1.800000071525574,0.0,0.0,240.0
16,2022-10-24 12:47:24+0000,4394,0.0,1.800000071525574,0.0,0.0,344.0
16,2022-10-23 08:08:14+0000,797,0.0,1.800000071525574,0.0,0.0,96.0
1,2022-10-23 07:09:58+0000,2985,214.0,0.2143348604440689,10099.0,0.295,691.0
16,2022-10-21 12:56:00+0000,897,0.0,1.800000071525574,0.0,0.0,93.0
49,2022-10-21 12:09:58+0000,2754,0.0,1.800000071525574,0.0,0.0,315.0
16,2022-10-20 17:26:05+0000,2574,0.0,1.800000071525574,0.0,0.0,297.0
49,2022-10-18 16:01:37+0000,1411,0.0,1.800000071525574,0.0,0.0,182.0
16,2022-10-17 16:16:29+0000,988,0.0,1.800000071525574,0.0,0.0,123.0
16,2022-10-17 15:51:28+0000,1208,0.0,1.800000071525574,0.0,0.0,115.0
49,2022-10-15 08:10:43+0000,4895,0.0,1.800000071525574,0.0,0.0,1018.0
16,2022-10-14 12:26:21+0000,2937,0.0,1.800000071525574,0.0,0.0,276.0
16,2022-10-13 12:43:52+0000,1007,0.0,1.800000071525574,0.0,0.0,119.0
49,2022-10-13 12:25:17+0000,1008,0.0,1.800000071525574,0.0,0.0,117.0
49,2022-10-13 12:12:36+0000,754,0.0,1.800000071525574,0.0,0.0,63.0
16,2022-10-11 12:42:58+0000,2015,0.0,1.800000071525574,0.0,0.0,147.0
49,2022-10-11 12:09:53+0000,1226,0.0,1.800000071525574,0.0,0.0,193.0
16,2022-10-08 08:16:13+0000,455,0.0,1.800000071525574,0.0,0.0,56.0
49,2022-10-08 07:12:39+0000,3811,0.0,1.800000071525574,0.0,0.0,716.0
16,2022-10-06 12:30:30+0000,3225,0.0,1.800000071525574,0.0,0.0,350.0
16,2022-10-05 12:24:45+0000,1093,0.0,1.800000071525574,0.0,0.0,98.0
49,2022-10-05 11:26:30+0000,2985,0.0,1.800000071525574,0.0,0.0,481.0
16,2022-10-03 16:40:44+0000,2744,0.0,1.800000071525574,0.0,0.0,340.0
49,2022-10-03 16:27:04+0000,755,0.0,1.800000071525574,0.0,0.0,119.0
